65,山东省,枣庄市,山亭区,水泉镇,山东枣庄市山亭区水泉镇三星希望小学,,2008,,,533,,张三,校长,13888888888,
66,山东省,滨州市,无棣县,,山东滨州市无棣县碣石山镇三星希望小学,,2008,,,451,,张三,校长,13888888888,
67,山东省,济宁市,梁山县,,山东济宁市梁山县韩垓镇三星希望小学,,2010,,,672,,张三,校长,13888888888,
68,山东省,济南市,商河县,,山东济南市商河县怀仁镇三星希望小学,,2012,,,1199,,张三,校长,13888888888,
69,山东省,济宁市,市中区,,山东济宁市市中区唐口镇三星希望小学,,2012,,,478,,张三,校长,13888888888,
70,山东省,淄博市,周村区,,山东淄博市周村南郊镇中心小学                      ,,2013,,,344,,张三,校长,13888888888,
71,山东省,菏泽市,定陶县,,山东荷泽市定陶县冉固镇三星希望小学           ,,2013,,,398,,张三,校长,13888888888,
72,河南省,南阳市,方城县,,河南南阳市方城县广阳镇三星希望小学,,2006,,,248,,张三,校长,13888888888,
73,河南省,滑县,城关镇,,河南滑县城关镇三星希望小学,河南省安阳市滑县城关镇苗固村,2009,,,511,,张三,校长,13888888888,
74,河南省,三门峡市,陕县,,河南三门峡市陕县王家后乡三星希望小学,,2009,,,109,,张三,校长,13888888888,
75,河南省,焦作市,中站区,,河南焦作市中站区府城办事处店后村三星希望小学,河南省焦作市中站区朱村乡店后村,2010,,,137,,张三,校长,13888888888,
76,河南省,安阳市,安阳县,,河南安阳市安阳县洪河屯乡三星希望小学,,2013,,,693,,张三,校长,13888888888,
77,河南省,信阳市,光山县,,河南信阳市光山县殷棚乡三星希望小学,,2013,,,462,,张三,校长,13888888888,
78,河南省,洛阳市,汝阳县,,河南汝阳县蔡店乡三星希望小学,河南省洛阳市汝阳县蔡店乡杜康村,2015,,准备竣工材料,201,,张三,校长,13888888888,
79,湖北省,恩施土家族苗族自治州,咸丰县,,湖北恩施土家苗族自治州咸丰县清坪镇三星希望小学,,2006,,,114,,张三,校长,13888888888,
80,湖北省,宜昌市,当阳市,,湖北宜昌市当阳市河溶镇三星希望小学,,2007,,,78,,张三,校长,13888888888,
81,湖北省,宜昌市,五峰土家族自治县,,湖北五峰土家族自治县仁和坪镇三星希望小学,湖北省宜昌市五峰土家族自治县仁和坪镇升子坪村,2008,,,233,,张三,校长,13888888888,
82,湖北省,十堰市,竹溪县,新洲乡,湖北十堰市竹溪县新洲乡三星希望小学,,2008,,,560,,张三,校长,13888888888,
83,湖北省,黄冈市,团风县,龙山镇,湖北黄冈市团风县龙山镇三星希望小学,,2009,,,677,,张三,校长,13888888888,
84,湖北省,宜昌市,夷陵区,龙泉镇,湖北宜昌市夷陵区龙泉镇三星希望小学,,2012,,,1001,,张三,校长,13888888888,
85,湖北省,襄阳市,谷城县,南河镇,湖北襄阳市谷城县南河镇三星希望小学,,2012,,,176,,张三,校长,13888888888,
86,湖北省,咸宁市,崇阳县,,湖北咸宁市崇阳县肖岭乡三星希望小学,,2013,,,816,,张三,校长,13888888888,
